Institution,State,Historically_Black,Predominantly_Black,Alask_Nat_Nat_Hawaiian_Serving,Tribal,Asian_American_Pacific_Islander_Serving,Hispanic_Serving,Native_American_Nontribal,Men_only,Women_only,Acceptance_rate,Average_SAT,Average_Cost_Of_Attendance,Avg_Net_Price_Pub_0_To_30000_Income,Avg_Net_Price_Pub_30000_To_48000_Income,Avg_Net_Price_Pub_48001_To_75000_Income,Avg_Net_Price_Pub_75001_To_110000_Income,Avg_Net_Price_Pub_110001_To_Inf_Income,Avg_Net_Price_Priv_0_To_30000_Income,Avg_Net_Price_Priv_30000_To_48000_Income,Avg_Net_Price_Priv_48001_To_75000_Income,Avg_Net_Price_Priv_75001_To_110000_Income,Avg_Net_Price_Priv_110001_To_Inf_Income,Perc_Undergrad_White,Perc_Undergrad_Black,Perc_Undergrad_Hispanic,Perc_Undergrad_Asian,Perc_Undergrad_Am_Indian_Alask_Native,Perc_Native_Hawaiin_Pac_Islander,Perc_Two_Or_More_Races,Perc_Receiving_Loan,Med_Loan_Debt,Inst_Loan_Debt,Socioeconomic_Div,White_Compl_Rate,Black_Compl_Rate,Hisp_Compl_Rate,Asian_Compl_Rate,Asian_Am_Pac_Islander_Compl_Rate,Native_Am_Pac_Islander_Compl_Rate,Two_Or_More_Races_Compl_Rate,Med_earnings
University of La Verne,CA,0,0,0,0,0,1,0,0,0,0.7351,1116,59394,NA,NA,NA,NA,NA,25769,34699,40210,NA,41644,0.1653,0.0758,0.623,0.0508,0.0018,0.0048,0.0327,0.4866,21000,24936,0.4752,0.6408,0.5217,0.6364,0.7407,1,0.5,0.641,52700
La Sierra University,CA,0,0,0,0,1,1,0,0,0,0.9185,NA,46981,NA,NA,NA,NA,NA,20444,21894,20931,24042,30493,0.0938,0.0617,0.5247,0.1719,0.0016,0.0049,0.0526,0.5751,18500,20885,0.4929,0.4857,0.25,0.4966,0.7347,0,0.6667,0.5833,54600
Mount Saint Mary's University,CA,0,0,0,0,1,1,0,0,1,0.7576,NA,62383,NA,NA,NA,NA,NA,28062,28889,27953,30659,38531,0.0883,0.0647,0.5624,0.1766,0.0011,0.0028,0.0124,0.6984,22167,21226,0.5606,0.5556,0.5714,0.5859,0.622,0,1,0.8333,63500
Pacific Union College,CA,0,0,0,0,1,1,0,0,0,0.4846,1075,45219,NA,NA,NA,NA,NA,17770,19987,18283,20554,24891,0.2021,0.0635,0.2979,0.2539,0.0013,0.0065,0.092,0.6521,19500,21731,0.4055,0.5,0.2353,0.4722,0.4857,0,1,0.5714,61700
Pepperdine University,CA,0,0,0,0,0,0,0,0,0,0.4871,1399,80152,NA,NA,NA,NA,NA,31203,30602,36550,40356,49924,0.4551,0.0391,0.1841,0.14,0.0019,0.0022,0.073,0.387,19500,56341,0.1929,0.8376,0.8214,0.913,0.8,0.8,1,0.7966,77600
Point Loma Nazarene University,CA,0,0,0,0,0,0,0,0,0,0.8193,NA,54207,NA,NA,NA,NA,NA,26481,27660,30305,32035,37554,0.5326,0.0222,0.2569,0.0705,0.0029,0.0038,0.0813,0.4846,19500,40614,0.2316,0.7781,0.5714,0.7168,0.7708,1,0.8,0.6667,54400
University of Redlands,CA,0,0,0,0,0,1,0,0,0,0.8187,1215,70206,NA,NA,NA,NA,NA,20351,22827,21214,25344,36038,0.3768,0.0461,0.4224,0.0508,0.007,0.0052,0.0648,0.8548,21250,32915,0.335,0.6528,0.5556,0.7,0.6923,0.2857,0.5714,0.5806,57700
San Diego State University,CA,0,0,0,0,1,1,0,0,0,0.3926,NA,23482,7220,8513,13217,17578,22059,NA,NA,NA,NA,NA,0.3478,0.0397,0.3516,0.1337,0.0021,0.0025,0.0699,0.1916,12847,26192,0.3261,0.8114,0.7358,0.7456,0.8055,0.7059,0.7692,0.7724,55900
University of San Diego,CA,0,0,0,0,0,0,0,0,0,0.5261,NA,72092,NA,NA,NA,NA,NA,19659,15964,22611,27219,42844,0.4692,0.0388,0.2433,0.0754,0.0027,0.0023,0.0774,0.3285,19019,60000,0.1831,0.8189,0.7805,0.892,0.8333,0,0.625,0.7429,71100
San Francisco State University,CA,0,0,0,0,1,1,0,0,0,0.942,NA,23609,9082,10527,13135,17976,22274,NA,NA,NA,NA,NA,0.1605,0.0612,0.3978,0.2529,0.0014,0.0064,0.055,0.2392,12923,19194,0.4318,0.5762,0.4845,0.4857,0.6352,0.3333,0.4286,0.5177,54700
